word,part_of_speech
à 1,prep
a 2,subst
a conto,adv
à jour,adj
à la,adv
à la carte,adv
AB,förk
abbé,subst
abbedissa,subst
abborre,subst
abc,subst
abc-bok,subst
ABC-stridsmedel,subst
abdikerar,ver
aber,subst
ABF,förk
abnorm,adj
abonnemang,subst
abonnent,subst
abonnerar,ver
abort,subst
abort-rådgivning,subst
abrakadabra,subst
abrupt,adj
absolut 1,adj
absolut 2,adv
absolutism,subst
absolutist,subst
absorberar,ver
abstinens,subst
abstraherar,ver
abstrakt,adj
abstraktion,subst
absurd,adj
accelererar,ver
accent,subst
accentuerar,ver
acceptabel,adj
accepterar,ver
accis,subst
aceton,subst
ack,interj
acklamation,subst
acklimatiserar sig,ver
ackompanjerar,ver
ackord,subst
ackrediterar,ver
ackumulerar,ver
ackuratess,subst
acne,subst
action,subst
AD 1,se Arbetsdomstole
AD 2,se art directo
ad notam,adv
adams-äpple,subst
ADB,förk
adderar,ver
addition,subst
adekvat,adj
adel,subst
adept,subst
aderton,räkn
adjektiv,subst
adjungerar,ver
adjunkt,subst
adjö,interj
adlar,ver
administration,subst
administrativ,adj
administrerar,ver
adopterar,ver
adoption,subst
adoptiv-barn,se adoptio
adoptiv-förälder,se adoptio
adrenalin,subst
adress,subst
adressat,subst
adresserar,ver
advent,subst
adverb,subst
adverbial,subst
advokat,subst
advokat-byrå,subst
aero-,förle
aero-dynamisk,adj
aerogram,subst
afasi,subst
affekt,subst
affekterad,adj
affektion,subst
affektions-värde,subst
affisch,subst
affischerar,ver
affär,subst
affärs-man,subst
aforism,subst
afrikan,subst
afrikansk,adj
afro-frisyr,subst
afton,subst
aga,subst
agar,ver
AGB,förk
agent,subst
agerar,ver
agg,subst
aggregat,subst
aggression,subst
aggressiv,adj
agiterar,ver
agn,subst
agnar,subst
agronom,subst
AGS,förk
aha-upplevelse,subst
aids,subst
A-inkomst,subst
aj,interj
ajournerar,ver
ajöss,interj
akademi,subst
akademiker,subst
akademisk,adj
A-kassa,subst
akilles-häl,subst
akne,a-entry>
akrobat,subst
akryl,subst
akt 1,subst
akt 2,subst
aktar,ver
aktar sig,ver
akter,subst
akter-seglad,adj
aktie,subst
aktie-bolag,subst
aktion,subst
aktiv,adj
aktiverar,ver
aktivist,subst
aktivitet,subst
aktning,subst
aktris,subst
aktsam,adj
aktualiserar,ver
aktualitet,subst
aktuell,adj
Aktuellt,nam
aktör,subst
akupunktur,subst
akustik,subst
akustisk,adj
akut,adj
akuten,nam
akut-mottagning,subst
akvarell,subst
akvarium,subst
al,subst
alabaster,subst
aladåb,subst
alarm,subst
alarmerande,adj
alban,subst
albansk,adj
albino,subst
album,subst
aldrig,adv
alert,adj
alfabet,subst
alfabetiserar,ver
alfabetisk,adj
alg,subst
algerier,subst
algerisk,adj
alias,adv
alibi,subst
alienation,subst
alienerad,adj
alika,subst
alkemi,subst
alkohol,subst
alkoholism,subst
alkoholist,subst
alkohol-poliklinik,subst
alko-test,subst
alkov,subst
all,pron
all right,interj
all round,a-entry>
alldaglig,adj
alldeles,adv
allé,subst
allegori,subst
allehanda,adj
allemans-fond,subst
allemans-rätt,subst
allemans-sparande,subst
allena 1,adj
allena 2,adv
allena-rådande,adj
allergi,subst
allergisk,adj
allesamman(s),pron
allestädes,adv
Allhelgona-helgen,nam
allians,subst
allians-fri,adj
allierad,adj
allihop(a),pron
allmoge,subst
allmosa,subst
allmän,adj
allmän advokatbyrå,subst
allmän försäkring,subst
allmän rättshjälp,subst
allmän röstlängd,subst
allmän tilläggspension,se AT
allmän-bildad,adj
allmän-bildning,subst
allmän-farlig,adj
allmän-giltig,adj
allmän-gods,subst
allmänhet,subst
Allmänna arvsfonden,nam
Allmänna försäkringskassan,se försäkringskass
Allmänna reklamationsnämnden,nam
allmänning,subst
allmän-nyttig,adj
allra,adv
allround,adj
alls,adv
all-sidig,adj
allsköns,adj
allsmäktig,adj
allsvensk,adj
Allsvenskan,nam
all-sång,subst
allt 1,se al
allt 2,adv
allt 3,subst
allteftersom,konj
alltför,adv
alltiallo,subst
alltid,adv
alltifrån,prep
alltihop(a),pron
allting,pron
alltjämt,adv
alltmer(a),adv
alltnog,interj
alltsamman(s),pron
alltsedan 1,konj
alltsedan 2,prep
alltså,adv
allvar,subst
allvarlig,adj
alm,subst
almanacka,subst
Alperna,nam
alpin,adj
alster,subst
alstrar,ver
alt,subst
altan,subst
altare,subst
alter ego,subst
alternativ 1,adj
alternativ 2,subst
alternativt,adv
alternerar,ver
altruist,subst
aluminium,subst
amalgam,subst
amason,subst
amatör,subst
ambassad,subst
ambassadör,subst
ambition,subst
ambitiös,adj
ambivalent,adj
ambulans,subst
ambulerar,ver
amen,interj
amerikan,subst
amerikanare,subst
amerikansk,adj
amfiteater,subst
amiral,subst
ammar,ver
ammunition,subst
amnesti,subst
Amnesty International,nam
amning,subst
amok,subst
amoralisk,adj
amorterar,ver
amortering,subst
ampel 1,adj
ampel 2,subst
ampere,subst
ampull,subst
amputerar,ver
AMS,förk
AMU,förk
AMU-kurs,subst
AMU-center,subst
amulett,subst
an,adv
anabol,adj
anakronism,subst
analfabet,subst
analog,adj
analogi,subst
analys,subst
analyserar,ver
anal-öppning,subst
anammar,ver
anamnes,subst
ananas,subst
anar,ver
anarki,subst
anarkist,subst
anatomi,subst
anbefaller,ver
anbelangar,ver
anblick,subst
anbringar,ver
anbud,subst
and,subst
